               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                 110,             0.09682,            0.025794,           0.0054126,             0.14831,             0.44304,             0.62918,             0.49697,             0.16826,            0.099154,            0.029091,           0.0065661,             0.14404,           0.0097678,           0.0097678,           0.0097678
                 111,            0.099166,             0.02401,           0.0050109,             0.14833,             0.54161,             0.52093,             0.43688,              0.1524,            0.097405,            0.029668,           0.0068491,             0.14311,           0.0097635,           0.0097635,           0.0097635
                 112,            0.098955,            0.024069,           0.0052195,              0.1469,             0.69325,             0.59138,             0.58058,             0.20801,            0.095219,            0.029866,            0.006428,             0.14095,           0.0097592,           0.0097592,           0.0097592
                 113,              0.1007,            0.024221,           0.0050513,              0.1463,             0.57375,             0.59845,             0.46331,             0.15059,            0.097089,            0.030561,            0.006266,              0.1423,           0.0097549,           0.0097549,           0.0097549
                 114,            0.099577,            0.022803,            0.004756,             0.14649,             0.55843,             0.63581,             0.52847,             0.17791,            0.096852,            0.029719,            0.006359,              0.1403,           0.0097506,           0.0097506,           0.0097506
                 115,            0.098573,            0.023451,           0.0049765,             0.14639,             0.45644,             0.50567,             0.34659,             0.12059,             0.10311,            0.030414,           0.0072113,             0.14315,           0.0097462,           0.0097462,           0.0097462
                 116,            0.097203,            0.025277,           0.0051734,             0.14674,             0.39706,             0.53144,             0.31449,            0.087079,             0.10124,            0.030769,           0.0065232,             0.13964,           0.0097418,           0.0097418,           0.0097418
                 117,            0.099346,            0.025056,           0.0047633,             0.14449,             0.51287,             0.55969,             0.45398,             0.16424,            0.099634,            0.029787,           0.0065989,             0.14095,           0.0097373,           0.0097373,           0.0097373
                 118,             0.10025,             0.02327,           0.0052662,             0.14506,             0.59293,             0.67124,             0.57337,             0.20474,            0.095737,            0.030108,            0.006197,             0.14158,           0.0097328,           0.0097328,           0.0097328
                 119,            0.096401,            0.024785,           0.0051395,             0.14449,             0.60621,             0.59142,              0.5854,             0.21909,            0.093549,            0.031683,           0.0061432,             0.14042,           0.0097283,           0.0097283,           0.0097283
                 120,            0.097989,            0.023386,           0.0050525,             0.14394,             0.54156,             0.55417,             0.52859,             0.19351,            0.094612,            0.033111,           0.0062877,             0.13922,           0.0097237,           0.0097237,           0.0097237
                 121,            0.098501,            0.024498,           0.0048686,              0.1437,              0.6178,             0.46521,             0.46938,             0.16837,            0.097994,            0.033886,           0.0079304,              0.1408,           0.0097191,           0.0097191,           0.0097191
                 122,            0.098745,            0.025359,           0.0052402,             0.14316,             0.45979,             0.53919,             0.42626,             0.14453,             0.10119,             0.03133,           0.0067098,              0.1393,           0.0097145,           0.0097145,           0.0097145
                 123,            0.098675,            0.023598,           0.0051085,             0.14221,             0.52134,              0.4853,             0.40783,             0.15041,            0.098718,            0.030217,            0.006752,             0.13778,           0.0097098,           0.0097098,           0.0097098
                 124,            0.097514,            0.023474,           0.0047952,             0.14212,             0.57158,              0.6656,             0.57874,             0.21823,            0.097676,            0.029113,           0.0063866,             0.13701,           0.0097051,           0.0097051,           0.0097051
                 125,            0.097483,            0.024505,           0.0047243,             0.14081,             0.47901,             0.66173,             0.48993,             0.15185,            0.095013,            0.030801,           0.0058698,             0.13725,           0.0097003,           0.0097003,           0.0097003
                 126,            0.096102,            0.024658,           0.0048102,             0.14241,             0.65022,             0.62825,             0.58493,             0.21284,             0.09384,            0.030429,           0.0061218,             0.13669,           0.0096955,           0.0096955,           0.0096955
                 127,              0.0972,             0.02448,           0.0047556,             0.14137,             0.58871,              0.6308,             0.51844,             0.18979,            0.095208,            0.029629,           0.0060789,             0.13485,           0.0096907,           0.0096907,           0.0096907
                 128,            0.097571,            0.024947,           0.0047637,             0.14124,             0.64664,             0.66295,             0.61753,             0.24021,            0.092757,            0.031312,           0.0065066,             0.13464,           0.0096858,           0.0096858,           0.0096858
